시도,시군구,성별,연도,급여유형,등급,인원
충남,아산시,합계,2021,감경,등급외,12
충남,아산시,합계,2021,의료급여,계,39
충남,아산시,합계,2021,의료급여,1등급,0
충남,아산시,합계,2021,의료급여,2등급,1
충남,아산시,합계,2021,의료급여,3등급,10
충남,아산시,합계,2021,의료급여,4등급,18
충남,아산시,합계,2021,의료급여,5등급,6
충남,아산시,합계,2021,의료급여,인지지원등급,0
충남,아산시,합계,2021,의료급여,등급외,4
충남,아산시,합계,2021,기초,계,762
충남,아산시,합계,2021,기초,1등급,21
충남,아산시,합계,2021,기초,2등급,64
충남,아산시,합계,2021,기초,3등급,172
충남,아산시,합계,2021,기초,4등급,269
충남,아산시,합계,2021,기초,5등급,83
충남,아산시,합계,2021,기초,인지지원등급,27
충남,아산시,합계,2021,기초,등급외,126
충남,아산시,합계,2022,계,계,5589
충남,아산시,합계,2022,계,1등급,213
충남,아산시,합계,2022,계,2등급,513
충남,아산시,합계,2022,계,3등급,1314
충남,아산시,합계,2022,계,4등급,2021
충남,아산시,합계,2022,계,5등급,685
충남,아산시,합계,2022,계,인지지원등급,226
충남,아산시,합계,2022,계,등급외,617
충남,아산시,합계,2022,일반,계,2780
충남,아산시,합계,2022,일반,1등급,107
충남,아산시,합계,2022,일반,2등급,237
충남,아산시,합계,2022,일반,3등급,617
충남,아산시,합계,2022,일반,4등급,912
충남,아산시,합계,2022,일반,5등급,315
충남,아산시,합계,2022,일반,인지지원등급,119
충남,아산시,합계,2022,일반,등급외,473
충남,아산시,합계,2022,감경,계,1940
충남,아산시,합계,2022,감경,1등급,82
충남,아산시,합계,2022,감경,2등급,202
충남,아산시,합계,2022,감경,3등급,508
충남,아산시,합계,2022,감경,4등급,802
충남,아산시,합계,2022,감경,5등급,254
충남,아산시,합계,2022,감경,인지지원등급,72
충남,아산시,합계,2022,감경,등급외,20
충남,아산시,합계,2022,의료급여,계,39
충남,아산시,합계,2022,의료급여,1등급,1
충남,아산시,합계,2022,의료급여,2등급,3
충남,아산시,합계,2022,의료급여,3등급,9
충남,아산시,합계,2022,의료급여,4등급,15
충남,아산시,합계,2022,의료급여,5등급,7
충남,아산시,합계,2022,의료급여,인지지원등급,2
충남,아산시,합계,2022,의료급여,등급외,2
충남,아산시,합계,2022,기초,계,830
충남,아산시,합계,2022,기초,1등급,23
충남,아산시,합계,2022,기초,2등급,71
충남,아산시,합계,2022,기초,3등급,180
충남,아산시,합계,2022,기초,4등급,292
충남,아산시,합계,2022,기초,5등급,109
충남,아산시,합계,2022,기초,인지지원등급,33
충남,아산시,합계,2022,기초,등급외,122
충남,아산시,합계,2023,계,계,6070
