읍면동,연도,항목,값
신창면,2015,주택_비주거용 건물 내 주택 (호),47.0
신창면,2015,주택 이외의 거처_계 (호),198.0
신창면,2020,총인구 (명),28881.0
신창면,2020,남자 (명),15360.0
신창면,2020,여자 (명),13521.0
신창면,2020,내국인-계 (명),21353.0
신창면,2020,내국인-남자 (명),10970.0
신창면,2020,내국인-여자 (명),10383.0
신창면,2020,외국인-계 (명),7528.0
신창면,2020,외국인-남자 (명),4390.0
신창면,2020,외국인-여자 (명),3138.0
신창면,2020,가구-계 (가구),12513.0
신창면,2020,일반가구 (가구),9898.0
신창면,2020,집단가구 (가구),24.0
신창면,2020,외국인가구 (가구),2591.0
신창면,2020,주택_계 (호),10684.0
신창면,2020,주택_단독주택 (호),1692.0
신창면,2020,주택_아파트 (호),8740.0
신창면,2020,주택_연립주택 (호),16.0
신창면,2020,주택_다세대주택 (호),184.0
신창면,2020,주택_비주거용 건물 내 주택 (호),52.0
신창면,2020,주택 이외의 거처_계 (호),266.0
온양1동,2015,총인구 (명),6538.0
온양1동,2015,남자 (명),3429.0
온양1동,2015,여자 (명),3109.0
온양1동,2015,내국인-계 (명),6144.0
온양1동,2015,내국인-남자 (명),3219.0
온양1동,2015,내국인-여자 (명),2925.0
온양1동,2015,외국인-계 (명),394.0
온양1동,2015,외국인-남자 (명),210.0
온양1동,2015,외국인-여자 (명),184.0
온양1동,2015,가구-계 (가구),2749.0
온양1동,2015,일반가구 (가구),2539.0
온양1동,2015,집단가구 (가구),8.0
온양1동,2015,외국인가구 (가구),202.0
온양1동,2015,주택_계 (호),2019.0
온양1동,2015,주택_단독주택 (호),688.0
온양1동,2015,주택_아파트 (호),1008.0
온양1동,2015,주택_연립주택 (호),28.0
온양1동,2015,주택_다세대주택 (호),148.0
온양1동,2015,주택_비주거용 건물 내 주택 (호),147.0
온양1동,2015,주택 이외의 거처_계 (호),239.0
온양1동,2020,총인구 (명),9849.0
온양1동,2020,남자 (명),5112.0
온양1동,2020,여자 (명),4737.0
온양1동,2020,내국인-계 (명),9237.0
온양1동,2020,내국인-남자 (명),4826.0
온양1동,2020,내국인-여자 (명),4411.0
온양1동,2020,외국인-계 (명),612.0
온양1동,2020,외국인-남자 (명),286.0
온양1동,2020,외국인-여자 (명),326.0
온양1동,2020,가구-계 (가구),4283.0
온양1동,2020,일반가구 (가구),4032.0
온양1동,2020,집단가구 (가구),6.0
온양1동,2020,외국인가구 (가구),245.0
온양1동,2020,주택_계 (호),3528.0
온양1동,2020,주택_단독주택 (호),691.0
온양1동,2020,주택_아파트 (호),2454.0
온양1동,2020,주택_연립주택 (호),76.0
온양1동,2020,주택_다세대주택 (호),151.0
온양1동,2020,주택_비주거용 건물 내 주택 (호),156.0
온양1동,2020,주택 이외의 거처_계 (호),202.0
온양2동,2015,총인구 (명),8752.0
온양2동,2015,남자 (명),4377.0
온양2동,2015,여자 (명),4375.0
온양2동,2015,내국인-계 (명),7910.0
온양2동,2015,내국인-남자 (명),3920.0
온양2동,2015,내국인-여자 (명),3990.0
온양2동,2015,외국인-계 (명),842.0
온양2동,2015,외국인-남자 (명),457.0
온양2동,2015,외국인-여자 (명),385.0
온양2동,2015,가구-계 (가구),3594.0
온양2동,2015,일반가구 (가구),3174.0
온양2동,2015,집단가구 (가구),
온양2동,2015,외국인가구 (가구),417.0
온양2동,2015,주택_계 (호),2290.0
온양2동,2015,주택_단독주택 (호),772.0
온양2동,2015,주택_아파트 (호),1104.0
온양2동,2015,주택_연립주택 (호),177.0
온양2동,2015,주택_다세대주택 (호),182.0
온양2동,2015,주택_비주거용 건물 내 주택 (호),55.0
온양2동,2015,주택 이외의 거처_계 (호),78.0
온양2동,2020,총인구 (명),8251.0
온양2동,2020,남자 (명),4147.0
온양2동,2020,여자 (명),4104.0
온양2동,2020,내국인-계 (명),7002.0
온양2동,2020,내국인-남자 (명),3487.0
온양2동,2020,내국인-여자 (명),3515.0
온양2동,2020,외국인-계 (명),1249.0
온양2동,2020,외국인-남자 (명),660.0
온양2동,2020,외국인-여자 (명),589.0
온양2동,2020,가구-계 (가구),3681.0
온양2동,2020,일반가구 (가구),3124.0
온양2동,2020,집단가구 (가구),
온양2동,2020,외국인가구 (가구),553.0
온양2동,2020,주택_계 (호),2550.0
온양2동,2020,주택_단독주택 (호),759.0
온양2동,2020,주택_아파트 (호),1360.0
온양2동,2020,주택_연립주택 (호),189.0
온양2동,2020,주택_다세대주택 (호),186.0
온양2동,2020,주택_비주거용 건물 내 주택 (호),56.0
온양2동,2020,주택 이외의 거처_계 (호),79.0
온양3동,2015,총인구 (명),32624.0
온양3동,2015,남자 (명),16165.0
온양3동,2015,여자 (명),16459.0
온양3동,2015,내국인-계 (명),31803.0
온양3동,2015,내국인-남자 (명),15779.0
온양3동,2015,내국인-여자 (명),16024.0
온양3동,2015,외국인-계 (명),821.0
온양3동,2015,외국인-남자 (명),386.0
온양3동,2015,외국인-여자 (명),435.0
온양3동,2015,가구-계 (가구),11546.0
온양3동,2015,일반가구 (가구),11196.0
온양3동,2015,집단가구 (가구),8.0
온양3동,2015,외국인가구 (가구),342.0
온양3동,2015,주택_계 (호),10558.0
온양3동,2015,주택_단독주택 (호),1108.0
온양3동,2015,주택_아파트 (호),7655.0
온양3동,2015,주택_연립주택 (호),176.0
온양3동,2015,주택_다세대주택 (호),1518.0
온양3동,2015,주택_비주거용 건물 내 주택 (호),101.0
온양3동,2015,주택 이외의 거처_계 (호),302.0
온양3동,2020,총인구 (명),36835.0
온양3동,2020,남자 (명),18371.0
온양3동,2020,여자 (명),18464.0
온양3동,2020,내국인-계 (명),35769.0
온양3동,2020,내국인-남자 (명),17883.0
온양3동,2020,내국인-여자 (명),17886.0
온양3동,2020,외국인-계 (명),1066.0
온양3동,2020,외국인-남자 (명),488.0
온양3동,2020,외국인-여자 (명),578.0
온양3동,2020,가구-계 (가구),13974.0
온양3동,2020,일반가구 (가구),13562.0
온양3동,2020,집단가구 (가구),
온양3동,2020,외국인가구 (가구),410.0
온양3동,2020,주택_계 (호),12646.0
온양3동,2020,주택_단독주택 (호),1067.0
온양3동,2020,주택_아파트 (호),9738.0
온양3동,2020,주택_연립주택 (호),176.0
온양3동,2020,주택_다세대주택 (호),1550.0
온양3동,2020,주택_비주거용 건물 내 주택 (호),115.0
온양3동,2020,주택 이외의 거처_계 (호),240.0
온양4동,2015,총인구 (명),20887.0
온양4동,2015,남자 (명),10841.0
온양4동,2015,여자 (명),10046.0
온양4동,2015,내국인-계 (명),19888.0
온양4동,2015,내국인-남자 (명),10204.0
온양4동,2015,내국인-여자 (명),9684.0
온양4동,2015,외국인-계 (명),999.0
온양4동,2015,외국인-남자 (명),637.0
온양4동,2015,외국인-여자 (명),362.0
온양4동,2015,가구-계 (가구),7492.0
온양4동,2015,일반가구 (가구),7224.0
온양4동,2015,집단가구 (가구),6.0
온양4동,2015,외국인가구 (가구),262.0
온양4동,2015,주택_계 (호),7702.0
온양4동,2015,주택_단독주택 (호),754.0
온양4동,2015,주택_아파트 (호),6415.0
온양4동,2015,주택_연립주택 (호),291.0
온양4동,2015,주택_다세대주택 (호),207.0
온양4동,2015,주택_비주거용 건물 내 주택 (호),35.0
온양4동,2015,주택 이외의 거처_계 (호),107.0
온양4동,2020,총인구 (명),19911.0
온양4동,2020,남자 (명),10241.0
온양4동,2020,여자 (명),9670.0
온양4동,2020,내국인-계 (명),18300.0
온양4동,2020,내국인-남자 (명),9343.0
온양4동,2020,내국인-여자 (명),8957.0
온양4동,2020,외국인-계 (명),1611.0
온양4동,2020,외국인-남자 (명),898.0
온양4동,2020,외국인-여자 (명),713.0
온양4동,2020,가구-계 (가구),7845.0
온양4동,2020,일반가구 (가구),7343.0
온양4동,2020,집단가구 (가구),7.0
온양4동,2020,외국인가구 (가구),495.0
온양4동,2020,주택_계 (호),8446.0
온양4동,2020,주택_단독주택 (호),761.0
온양4동,2020,주택_아파트 (호),7032.0
온양4동,2020,주택_연립주택 (호),339.0
온양4동,2020,주택_다세대주택 (호),265.0
온양4동,2020,주택_비주거용 건물 내 주택 (호),49.0
온양4동,2020,주택 이외의 거처_계 (호),108.0
온양5동,2015,총인구 (명),27646.0
온양5동,2015,남자 (명),14011.0
온양5동,2015,여자 (명),13635.0
온양5동,2015,내국인-계 (명),26889.0
온양5동,2015,내국인-남자 (명),13637.0
온양5동,2015,내국인-여자 (명),13252.0
온양5동,2015,외국인-계 (명),757.0
온양5동,2015,외국인-남자 (명),374.0
온양5동,2015,외국인-여자 (명),383.0
온양5동,2015,가구-계 (가구),10448.0
온양5동,2015,일반가구 (가구),10091.0
온양5동,2015,집단가구 (가구),
온양5동,2015,외국인가구 (가구),354.0
온양5동,2015,주택_계 (호),8135.0
온양5동,2015,주택_단독주택 (호),1522.0
온양5동,2015,주택_아파트 (호),6003.0
온양5동,2015,주택_연립주택 (호),218.0
온양5동,2015,주택_다세대주택 (호),341.0
온양5동,2015,주택_비주거용 건물 내 주택 (호),51.0
온양5동,2015,주택 이외의 거처_계 (호),62.0
온양5동,2020,총인구 (명),25970.0
온양5동,2020,남자 (명),13307.0
온양5동,2020,여자 (명),12663.0
온양5동,2020,내국인-계 (명),24400.0
온양5동,2020,내국인-남자 (명),12534.0
온양5동,2020,내국인-여자 (명),11866.0
온양5동,2020,외국인-계 (명),1570.0
온양5동,2020,외국인-남자 (명),773.0
온양5동,2020,외국인-여자 (명),797.0
온양5동,2020,가구-계 (가구),10672.0
온양5동,2020,일반가구 (가구),10032.0
